year,region_num,region_name,class,data_value,data_value_type,gender
2016,4,Aktobe region,Neoplasm,0.0814,total,overall
2016,5,Almaty region,Neoplasm,0.065,total,overall
2016,6,Atyrau region,Neoplasm,0.0879,total,overall
2016,7,West Kazakkhstan region,Neoplasm,0.1009,total,overall
2016,8,Jambyl region,Neoplasm,0.0877,total,overall
2016,9,Karaganda region,Neoplasm,0.1027,total,overall
2016,10,Kostanay region,Neoplasm,0.0977,total,overall
2016,11,Kyzylorda region,Neoplasm,0.0715,total,overall
2016,12,Mangystau region,Neoplasm,0.0573,total,overall
2016,13,South Kazakhstan region,Neoplasm,0.0521,total,overall
2016,14,Pavlodar region,Neoplasm,0.1454,total,overall
2016,15,North Kazakhstan region,Neoplasm,0.131,total,overall
2016,16,East Kazakhstan region,Neoplasm,0.1318,total,overall
2016,1,Nur-Sultan,Neoplasm,0.0936,total,overall
2016,2,Almaty,Neoplasm,0.1035,total,overall
2017,3,Akmola region,Neoplasm,0.1229,total,overall
2017,4,Aktobe region,Neoplasm,0.0736,total,overall
2017,5,Almaty region,Neoplasm,0.0622,total,overall
2017,6,Atyrau region,Neoplasm,0.0817,total,overall
2017,7,West Kazakkhstan region,Neoplasm,0.0959,total,overall
2017,8,Jambyl region,Neoplasm,0.0894,total,overall
2017,9,Karaganda region,Neoplasm,0.0883,total,overall
2017,10,Kostanay region,Neoplasm,0.0957,total,overall
2017,11,Kyzylorda region,Neoplasm,0.0623,total,overall
2017,12,Mangystau region,Neoplasm,0.0565,total,overall
2017,13,South Kazakhstan region,Neoplasm,0.0569,total,overall
2017,14,Pavlodar region,Neoplasm,0.1341,total,overall
2017,15,North Kazakhstan region,Neoplasm,0.1244,total,overall
2017,16,East Kazakhstan region,Neoplasm,0.1282,total,overall
2017,1,Nur-Sultan,Neoplasm,0.0835,total,overall
2017,2,Almaty,Neoplasm,0.0954,total,overall
2018,3,Akmola region,Neoplasm,0.108,total,overall
2018,4,Aktobe region,Neoplasm,0.0702,total,overall
2018,5,Almaty region,Neoplasm,0.0594,total,overall
2018,6,Atyrau region,Neoplasm,0.0692,total,overall
2018,7,West Kazakkhstan region,Neoplasm,0.0956,total,overall
2018,8,Jambyl region,Neoplasm,0.0763,total,overall
2018,9,Karaganda region,Neoplasm,0.0937,total,overall
2018,10,Kostanay region,Neoplasm,0.096,total,overall
2018,11,Kyzylorda region,Neoplasm,0.0614,total,overall
2018,12,Mangystau region,Neoplasm,0.0541,total,overall
2018,13,South Kazakhstan region,Neoplasm,0.0486,total,overall
2018,14,Pavlodar region,Neoplasm,0.1269,total,overall
2018,15,North Kazakhstan region,Neoplasm,0.1231,total,overall
2018,16,East Kazakhstan region,Neoplasm,0.1319,total,overall
2018,1,Nur-Sultan,Neoplasm,0.0876,total,overall
2018,2,Almaty,Neoplasm,0.0935,total,overall
2019,3,Akmola region,Neoplasm,0.116,total,overall
2019,4,Aktobe region,Neoplasm,0.0707,total,overall
2019,5,Almaty region,Neoplasm,0.0602,total,overall
2019,6,Atyrau region,Neoplasm,0.0669,total,overall
2019,7,West Kazakkhstan region,Neoplasm,0.092,total,overall
2019,8,Jambyl region,Neoplasm,0.0733,total,overall
2019,9,Karaganda region,Neoplasm,0.0911,total,overall
2019,10,Kostanay region,Neoplasm,0.0912,total,overall
2019,11,Kyzylorda region,Neoplasm,0.0602,total,overall
2019,12,Mangystau region,Neoplasm,0.0564,total,overall
2019,13,South Kazakhstan region,Neoplasm,0.0519,total,overall
2019,14,Pavlodar region,Neoplasm,0.1298,total,overall
2019,15,North Kazakhstan region,Neoplasm,0.1229,total,overall
2019,16,East Kazakhstan region,Neoplasm,0.1301,total,overall
2019,1,Nur-Sultan,Neoplasm,0.0802,total,overall
2019,2,Almaty,Neoplasm,0.0852,total,overall
2020,3,Akmola region,Neoplasm,0.1027,total,overall
2020,4,Aktobe region,Neoplasm,0.06,total,overall
2020,5,Almaty region,Neoplasm,0.0623,total,overall
2020,6,Atyrau region,Neoplasm,0.064,total,overall
2020,7,West Kazakkhstan region,Neoplasm,0.0986,total,overall
2020,8,Jambyl region,Neoplasm,0.0757,total,overall
2020,9,Karaganda region,Neoplasm,0.096,total,overall
2020,10,Kostanay region,Neoplasm,0.0916,total,overall
2020,11,Kyzylorda region,Neoplasm,0.063,total,overall
2020,12,Mangystau region,Neoplasm,0.051,total,overall
2020,13,South Kazakhstan region,Neoplasm,0.0529,total,overall
2020,14,Pavlodar region,Neoplasm,0.1245,total,overall
2020,15,North Kazakhstan region,Neoplasm,0.1047,total,overall
2020,16,East Kazakhstan region,Neoplasm,0.1311,total,overall
2020,1,Nur-Sultan,Neoplasm,0.0721,total,overall
2020,2,Almaty,Neoplasm,0.092,total,overall
